# Source: 2015 year from 2019 IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
cod,RAIL,Total,0
cod,DOMESNAV,Total,140
cog,MARBUNK,Total,0
cog,AVBUNK,Total,53
cog,DOMESAIR,Total,36
cog,ROAD,Total,407
cog,RAIL,Total,109
cog,DOMESNAV,Total,10
col,MARBUNK,Total,253
col,AVBUNK,Total,1347
col,DOMESAIR,Total,22
col,ROAD,Total,10226
col,RAIL,Total,16
col,DOMESNAV,Total,4
com,MARBUNK,Total,1.13
com,AVBUNK,Total,2.54
com,DOMESAIR,Total,0.34
com,ROAD,Total,17.81
com,RAIL,Total,0.19
com,DOMESNAV,Total,0.02
cpv,MARBUNK,Total,0.76
cpv,AVBUNK,Total,1.72
cpv,DOMESAIR,Total,0.23
cpv,ROAD,Total,12.02
cpv,RAIL,Total,0.13
cpv,DOMESNAV,Total,0.01
cri,MARBUNK,Total,1
cri,AVBUNK,Total,178
cri,DOMESAIR,Total,4
cri,ROAD,Total,1767
cri,RAIL,Total,0
cri,DOMESNAV,Total,2
cub,MARBUNK,Total,645
cub,AVBUNK,Total,102
cub,ROAD,Total,483
cub,RAIL,Total,27
cub,DOMESNAV,Total,14
cym,MARBUNK,Total,4.55
cym,AVBUNK,Total,7.17
cym,DOMESAIR,Total,0.66
cym,ROAD,Total,20.77
cym,DOMESNAV,Total,0.12
cyp,MARBUNK,Total,238
cyp,AVBUNK,Total,239
cyp,ROAD,Total,617
cyp,RAIL,Total,0
cze,AVBUNK,Total,293
cze,DOMESAIR,Total,38
cze,ROAD,Total,5860
cze,RAIL,Total,216
cze,DOMESNAV,Total,3
deu,MARBUNK,Total,2392
deu,AVBUNK,Total,8048
deu,DOMESAIR,Total,734
deu,ROAD,Total,52951
deu,RAIL,Total,1286
deu,DOMESNAV,Total,317
dji,MARBUNK,Total,1.33
dji,AVBUNK,Total,2.99
dji,DOMESAIR,Total,0.4
dji,ROAD,Total,20.93
dji,RAIL,Total,0.22
dji,DOMESNAV,Total,0.02
dma,MARBUNK,Total,5.25
dma,AVBUNK,Total,8.26
dma,DOMESAIR,Total,0.76
dma,ROAD,Total,23.95
dma,DOMESNAV,Total,0.14
dnk,MARBUNK,Total,765
dnk,AVBUNK,Total,873
dnk,DOMESAIR,Total,30
dnk,ROAD,Total,3743
dnk,RAIL,Total,114
dnk,DOMESNAV,Total,134
dom,AVBUNK,Total,511
dom,DOMESAIR,Total,4
dom,ROAD,Total,1654
dom,RAIL,Total,6
dza,MARBUNK,Total,270
dza,AVBUNK,Total,484
dza,DOMESAIR,Total,123
dza,ROAD,Total,14643
dza,RAIL,Total,177
dza,DOMESNAV,Total,0
ecu,MARBUNK,Total,350
ecu,AVBUNK,Total,195
ecu,DOMESAIR,Total,170
ecu,ROAD,Total,5118
ecu,RAIL,Total,0
ecu,DOMESNAV,Total,272
egy,MARBUNK,Total,179
egy,AVBUNK,Total,552
egy,DOMESAIR,Total,621
egy,ROAD,Total,17409
egy,RAIL,Total,48
egy,DOMESNAV,Total,255
eri,MARBUNK,Total,0
eri,AVBUNK,Total,5
eri,ROAD,Total,58
esh,MARBUNK,Total,0.77
esh,AVBUNK,Total,1.72
esh,DOMESAIR,Total,0.23
esh,ROAD,Total,12.05
esh,RAIL,Total,0.13
esh,DOMESNAV,Total,0.01
esp,MARBUNK,Total,7411
esp,AVBUNK,Total,3860
esp,DOMESAIR,Total,1783
esp,ROAD,Total,26580
esp,RAIL,Total,403
esp,DOMESNAV,Total,443
est,MARBUNK,Total,289
est,AVBUNK,Total,50
est,DOMESAIR,Total,1
est,ROAD,Total,729
est,RAIL,Total,20
est,DOMESNAV,Total,6
eth,MARBUNK,Total,0
eth,AVBUNK,Total,485
eth,DOMESAIR,Total,31
eth,ROAD,Total,1538
eth,RAIL,Total,0
eth,DOMESNAV,Total,0
fin,MARBUNK,Total,293
fin,AVBUNK,Total,636
fin,DOMESAIR,Total,61
fin,ROAD,Total,3820
fin,RAIL,Total,83
fin,DOMESNAV,Total,131
fji,MARBUNK,Total,4.5
fji,AVBUNK,Total,4.73
fji,DOMESAIR,Total,3.75
fji,ROAD,Total,60.59
fji,DOMESNAV,Total,3.69
flk,MARBUNK,Total,0.21
flk,AVBUNK,Total,0.33
flk,DOMESAIR,Total,0.03
flk,ROAD,Total,0.95
flk,DOMESNAV,Total,0.01
fra,MARBUNK,Total,1638
fra,AVBUNK,Total,6339
fra,DOMESAIR,Total,801
fra,ROAD,Total,42532
fra,RAIL,Total,1011
fra,DOMESNAV,Total,475
gab,MARBUNK,Total,182
gab,AVBUNK,Total,68
gab,DOMESAIR,Total,3
gab,ROAD,Total,265
gab,RAIL,Total,1
gbr,MARBUNK,Total,2500
gbr,AVBUNK,Total,10836
gbr,DOMESAIR,Total,815
gbr,ROAD,Total,37798
gbr,RAIL,Total,1020
gbr,DOMESNAV,Total,849
geo,MARBUNK,Total,0
geo,AVBUNK,Total,71
geo,DOMESAIR,Total,1
geo,ROAD,Total,1255
geo,RAIL,Total,31
geo,DOMESNAV,Total,1
gha,MARBUNK,Total,0
gha,AVBUNK,Total,116
gha,DOMESAIR,Total,12
gha,ROAD,Total,2434
gha,RAIL,Total,84
gha,DOMESNAV,Total,101
gib,MARBUNK,Total,3631
gib,AVBUNK,Total,8
gib,ROAD,Total,137
gin,MARBUNK,Total,16.66
gin,AVBUNK,Total,37.4
gin,DOMESAIR,Total,4.95
gin,ROAD,Total,261.85
gin,RAIL,Total,2.8
gin,DOMESNAV,Total,0.27
glp,MARBUNK,Total,29.52
glp,AVBUNK,Total,46.46
glp,DOMESAIR,Total,4.26
glp,ROAD,Total,134.68
glp,DOMESNAV,Total,0.79
gmb,MARBUNK,Total,3.04
gmb,AVBUNK,Total,6.82
gmb,DOMESAIR,Total,0.9
gmb,ROAD,Total,47.78
gmb,RAIL,Total,0.51
gmb,DOMESNAV,Total,0.05
gnb,MARBUNK,Total,2.53
gnb,AVBUNK,Total,5.68
gnb,DOMESAIR,Total,0.75
