"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","1995","1995","TONNEKM","Tonnes-kilometres","6","Millions",,,10369,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","1996","1996","TONNEKM","Tonnes-kilometres","6","Millions",,,10166,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","1997","1997","TONNEKM","Tonnes-kilometres","6","Millions",,,10735,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","1998","1998","TONNEKM","Tonnes-kilometres","6","Millions",,,13420,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,14144,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,13891,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,15055,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,21451,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,25517,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,25329,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,24450,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,24881,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,29388,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,27852,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,26678,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,29547,,
"CAN","Canada","T-SEA-CAB","Coastal shipping (national transport)","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,31735,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1970","1970","TONNEKM","Tonnes-kilometres","6","Millions",,,5200,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1971","1971","TONNEKM","Tonnes-kilometres","6","Millions",,,5500,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1972","1972","TONNEKM","Tonnes-kilometres","6","Millions",,,5900,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1973","1973","TONNEKM","Tonnes-kilometres","6","Millions",,,6300,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1974","1974","TONNEKM","Tonnes-kilometres","6","Millions",,,7200,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1975","1975","TONNEKM","Tonnes-kilometres","6","Millions",,,8200,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1976","1976","TONNEKM","Tonnes-kilometres","6","Millions",,,9293,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1977","1977","TONNEKM","Tonnes-kilometres","6","Millions",,,9340,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1978","1978","TONNEKM","Tonnes-kilometres","6","Millions",,,8650,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1979","1979","TONNEKM","Tonnes-kilometres","6","Millions",,,10163,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1980","1980","TONNEKM","Tonnes-kilometres","6","Millions",,,10256,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,9364,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,9381,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,9209,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,9144,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,9183,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1986","1986","TONNEKM","Tonnes-kilometres","6","Millions",,,9447,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1987","1987","TONNEKM","Tonnes-kilometres","6","Millions",,,8665,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1988","1988","TONNEKM","Tonnes-kilometres","6","Millions",,,7859,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1989","1989","TONNEKM","Tonnes-kilometres","6","Millions",,,7853,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1990","1990","TONNEKM","Tonnes-kilometres","6","Millions",,,7900,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1991","1991","TONNEKM","Tonnes-kilometres","6","Millions",,,7538,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1992","1992","TONNEKM","Tonnes-kilometres","6","Millions",,,7091,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1993","1993","TONNEKM","Tonnes-kilometres","6","Millions",,,7349,,
"SWE","Sweden","T-SEA-CAB","Coastal shipping (national transport)","1994","1994","TONNEKM","Tonnes-kilometres","6","Millions",,,7641,,
