"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1990","1990","PKM","Passenger-kilometres","6","Millions",,,90323,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1991","1991","PKM","Passenger-kilometres","6","Millions",,,82691,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1992","1992","PKM","Passenger-kilometres","6","Millions",,,69357,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1993","1993","PKM","Passenger-kilometres","6","Millions",,,47142,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1994","1994","PKM","Passenger-kilometres","6","Millions",,,39952,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1995","1995","PKM","Passenger-kilometres","6","Millions",,,34789,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1996","1996","PKM","Passenger-kilometres","6","Millions",,,33760,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1997","1997","PKM","Passenger-kilometres","6","Millions",,,26676,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1998","1998","PKM","Passenger-kilometres","6","Millions",,,25849,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","1999","1999","PKM","Passenger-kilometres","6","Millions",,,26350,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2000","2000","PKM","Passenger-kilometres","6","Millions",,,28917,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2001","2001","PKM","Passenger-kilometres","6","Millions",,,30423,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2002","2002","PKM","Passenger-kilometres","6","Millions",,,35385,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2003","2003","PKM","Passenger-kilometres","6","Millions",,,39495,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2004","2004","PKM","Passenger-kilometres","6","Millions",,,46841,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2005","2005","PKM","Passenger-kilometres","6","Millions",,,51820,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2006","2006","PKM","Passenger-kilometres","6","Millions",,,53343,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2007","2007","PKM","Passenger-kilometres","6","Millions",,,55446,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2008","2008","PKM","Passenger-kilometres","6","Millions",,,60671,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2009","2009","PKM","Passenger-kilometres","6","Millions",,,54631,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2010","2010","PKM","Passenger-kilometres","6","Millions",,,51463,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2011","2011","PKM","Passenger-kilometres","6","Millions",,,50881,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2012","2012","PKM","Passenger-kilometres","6","Millions",,,49704,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2013","2013","PKM","Passenger-kilometres","6","Millions",,,48343,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2014","2014","PKM","Passenger-kilometres","6","Millions",,,42133,"B","Break"
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2015","2015","PKM","Passenger-kilometres","6","Millions",,,33917,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2016","2016","PKM","Passenger-kilometres","6","Millions",,,33594,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2017","2017","PKM","Passenger-kilometres","6","Millions",,,34046,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2018","2018","PKM","Passenger-kilometres","6","Millions",,,32603,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,267525,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,244955,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,238861,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,190183,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,200779,"B","Break"
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,204339,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,205158,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,306660,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,310787,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,378863,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,363318,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,355200,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,359928,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,368516,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,378044,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,373919,,
"KOR","Korea","T-PASS-RD-TOT","Road passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,381854,,
