REGIONS/COUNTRIES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
JORDAN,93,94,100,104,109,114,121,130,130,130,130
KAZAKHSTAN,347,387,443,504,506,492,512,526,551,534,541
KUWAIT,,207,218,227,234,243,253,263,280,291,306
KYRGYZSTAN,229,267,311,320,333,347,380,420,430,440,450
LEBANON,91,88,89,92,94,96,98,101,104,110,113
MALAYSIA,863,897,934,973,"1,003","1,035","1,069","1,106","1,175","1,225","1,265"
NEW CALEDONIA,23,23,29,29,32,34,37,40,41,42,43
NEW ZEALAND,414,426,435,443,452,450,451,459,547,598,629
OMAN,120,120,130,144,146,160,170,190,200,210,220
PAKISTAN,351,366,384,390,406,415,428,456,468,475,500
PALESTINE,132,115,77,94,118,120,130,140,140,145,145
PHILIPPINES,322,339,668,353,373,382,396,413,430,434,461
QATAR,125,126,160,208,220,240,260,290,300,310,320
SAUDI ARABIA,"1,420","1,440","1,540","1,610","1,680","1,760","1,870","2,014","2,083","2,130","2,200"
SINGAPORE,153,159,166,171,174,174,177,178,178,179,180
SOUTH KOREA,"4,275","4,288","4,328","4,310","4,301","4,310","4,301","4,293","4,323","4,371","4,428"
SRI LANKA,530,535,540,545,555,581,633,686,717,747,797
SYRIA,"1,420","1,440","1,540","1,610","1,680","1,760","1,870","2,014","2,083","2,170","2,300"
TAIWAN,"1,018",999,"1,003","1,001","1,014","1,023","1,043","1,055","1,070","1,087","1,103"
THAILAND,"5,596","5,097","5,252","5,458","5,623","5,850","6,128","6,475","6,838","7,107","7,321"
UNITED ARAB EMIRATES,69,71,80,90,92,92,117,122,127,130,140
VIETNAM,98,99,100,105,110,106,120,140,156,160,170
YEMEN,260,260,280,290,300,310,330,360,377,390,400
ALGERIA,"1,018","1,065","1,100","1,150","1,254","1,290","1,330","1,483","1,567","1,650","1,870"
ANGOLA,59,59,90,124,126,130,130,130,133,140,140
BENIN,14,15,20,38,39,40,41,40,41,41,42
BOTSWANA,94,97,99,105,111,130,130,134,136,140,145
BURKINA FASO,37,41,44,46,49,51,70,71,72,91,97
BURUNDI,22,22,30,34,34,35,36,40,41,42,43
CAMEROON,58,61,63,67,69,71,73,80,82,84,87
CONGO KINSHASA ,689,700,704,708,709,711,726,741,760,780,800
EGYPT,820,846,863,931,995,"1,041","1,088","1,127","1,155","1,211","1,349"
ETHIOPIA,54,54,55,56,57,58,59,60,61,63,65
GHANA,49,136,200,280,270,280,290,300,320,320,330
IVORY COAST,342,367,373,403,414,424,440,450,470,490,510
KENYA,311,315,334,353,396,413,426,444,465,504,534
LIBERIA,38,36,40,38,39,40,41,40,41,42,43
LIBYA,379,390,400,410,414,467,489,508,526,550,570
MADAGASCAR,66,67,160,365,370,380,390,400,420,440,460
MALAWI,34,35,50,68,69,70,72,70,73,76,79
MALI,34,35,30,28,29,30,31,30,31,32,33
MAURITANIA,18,18,19,20,21,21,22,20,20,20,21
MAURITIUS,40,41,41,42,43,43,44,44,46,47,49
MOROCCO,529,571,616,668,731,783,837,886,933,973,"1,020"
MOZAMBIQUE,45,52,57,57,72,82,84,90,94,97,100
NIGERIA,644,653,660,670,679,690,710,730,740,760,780
SENEGAL,217,223,229,259,266,273,280,290,300,310,320
SOUTH AFRICA,"2,297","2,482","2,642","2,741","2,810","2,838","2,898","2,966","3,045","3,131","3,217"
SUDAN,48,49,50,50,52,53,54,55,57,59,61
TANZANIA,50,50,80,135,137,140,140,140,140,140,140
TOGO,47,47,48,49,49,50,51,52,54,56,58
TUNISIA,122,126,220,390,400,411,414,417,439,450,460
UGANDA,171,176,212,219,259,265,270,280,300,320,340
ZAMBIA,73,74,80,83,108,110,110,110,113,120,120
ZIMBABWE,89,91,90,93,95,97,100,100,103,110,110
