REGIONS/COUNTRIES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PANAMA,261,278,295,307,328,352,367,428,449,490,536
PARAGUAY,208,217,234,270,284,295,321,351,374,379,384
PERU,896,919,948,997,"1,041","1,095","1,150","1,221","1,312","1,398","1,486"
PUERTO RICO,"2,208","2,342","2,421","2,413","2,310","2,229","2,439","2,649","2,940","2,980","3,000"
SURINAME,67,71,83,95,108,120,125,130,136,140,150
TRINIDAD AND TOBAGO,310,308,312,314,317,320,324,326,333,340,350
URUGUAY,466,548,574,573,600,603,650,691,741,790,840
VENEZUELA,"2,658","2,869","3,244","3,826","3,821","3,927","3,983","4,000","3,444","3,510","3,600"
AFGHANISTAN,460,485,520,558,622,692,746,"1,109","1,141","1,152","1,156"
AUSTRALIA,"11,011","11,273","11,519","11,804","12,023","12,269","12,474","12,714","13,000","13,297","13,549"
AZERBAIJAN,479,549,617,700,759,816,871,959,"1,049","1,100","1,130"
BAHRAIN,257,275,298,323,346,364,381,402,437,467,500
BANGLADESH,281,285,288,291,288,311,326,338,352,373,380
BRUNEI,77,80,86,94,155,103,133,218,242,265,295
CHINA,"21,325","26,196","31,960","38,389","48,451","61,634","74,850","87,376","101,361","117,482","135,805"
GUAM,64,63,65,69,69,71,72,74,76,77,80
HONG-KONG,369,378,390,401,412,433,453,473,494,513,540
INDIA,"7,626","8,572","9,444","10,606","11,744","13,268","15,027","16,896","18,918","20,442","22,468"
INDONESIA,"5,076","6,035","6,877","7,490","7,910","8,891","9,549","10,432","11,485","12,599","13,481"
IRAN,"6,500","6,800","7,100","7,454","7,807","8,161","9,220","10,279","11,339","11,980","12,700"
IRAQ,775,857,864,872,878,990,"1,225","1,341","1,442","1,550","1,700"
ISRAEL,"1,644","1,703","1,798","1,895","1,965","2,072","2,183","2,265","2,359","2,477","2,604"
JAPAN,"57,091","57,521","57,624","57,865","58,020","58,347","58,670","59,421","60,036","60,668","60,988"
JORDAN,428,482,538,596,668,691,820,854,896,940,"1,000"
KAZAKHSTAN,"1,405","1,745","2,183","2,577","2,657","3,088","3,554","3,643","3,678","4,000","3,857"
KUWAIT,930,985,"1,048","1,098","1,151","1,203","1,267","1,342","1,427","1,501","1,570"
KYRGYZSTAN,201,219,230,315,400,506,570,650,730,810,880
LEBANON,430,423,426,440,445,450,455,477,506,540,570
MALAYSIA,"6,552","7,024","7,504","8,057","8,602","9,218","9,831","10,467","10,634","11,365","12,044"
NEW CALEDONIA,59,59,64,65,67,68,69,70,70,70,70
NEW ZEALAND,"2,182","2,241","2,282","2,299","2,329","2,327","2,362","2,425","2,895","2,981","3,079"
OMAN,285,390,400,467,474,520,570,620,660,710,760
PAKISTAN,"1,410","1,478","1,544","1,654","1,764","1,849","2,006","2,238","2,426","2,546","2,720"
PALESTINE,104,89,61,75,98,101,134,167,200,240,260
PHILIPPINES,"2,580","2,583","4,971","2,556","2,646","2,771","2,861","2,934","2,160","3,159","3,361"
QATAR,246,251,300,416,450,490,540,580,607,650,700
SAUDI ARABIA,"2,160","2,290","2,450","2,620","2,830","3,110","3,410","3,689","3,868","4,110","4,400"
SINGAPORE,463,498,541,577,604,624,633,648,651,648,633
SOUTH KOREA,"11,122","11,607","12,100","12,484","13,024","13,632","14,136","14,577","15,078","15,747","16,562"
SRI LANKA,370,370,380,381,387,410,468,500,528,567,673
SYRIA,"2,160","2,290","2,450","2,620","2,830","3,110","3,410","3,689","3,868","4,250","4,600"
TAIWAN,"5,634","5,698","5,713","5,674","5,704","5,803","5,960","6,091","6,237","6,406","6,574"
THAILAND,"3,943","3,708","3,942","4,188","4,462","4,750","5,404","6,274","7,167","7,717","8,170"
UNITED ARAB EMIRATES,796,807,"1,000","1,318","1,337","1,347","1,446","1,559","1,700","1,830","2,000"
VIETNAM,525,532,800,"1,204","1,300","1,430","1,570","1,700","1,794","1,900","2,000"
YEMEN,348,369,394,412,431,449,470,490,529,560,600
ALGERIA,"1,906","2,043","2,212","2,395","2,593","2,691","2,800","3,050","3,268","3,483","3,700"
ANGOLA,273,276,400,566,574,590,610,640,670,700,740
BENIN,142,144,146,153,160,167,170,180,190,200,210
BOTSWANA,70,79,88,101,116,156,155,194,208,224,246
BURKINA FASO,85,88,105,109,112,116,130,140,160,180,200
BURUNDI,14,15,16,16,16,17,18,20,20,20,20
CAMEROON,176,179,184,193,201,210,220,230,240,250,260
CONGO KINSHASA ,894,903,911,914,917,920,943,982,"1,000","1,050","1,100"
EGYPT,"2,100","2,239","2,387","2,525","2,748","3,171","3,436","3,541","3,699","3,915","4,384"
ETHIOPIA,74,73,73,75,73,74,78,82,90,90,90
GHANA,110,275,370,500,440,413,440,470,500,530,560
IVORY COAST,270,275,298,310,328,361,376,390,400,410,430
KENYA,329,373,411,450,500,553,592,645,710,779,848
LIBERIA,12,19,16,13,13,14,15,17,20,20,20
LIBYA,"1,100","1,357","1,400","1,420","1,436","1,655","1,740","1,842","1,950","2,060","2,170"
MADAGASCAR,75,77,110,146,141,139,147,154,162,190,200
MALAWI,35,36,44,55,55,56,57,58,59,60,60
MALI,75,86,98,105,110,120,130,140,150,160,170
MAURITANIA,12,13,13,13,13,14,14,16,20,20,20
MAURITIUS,85,92,100,110,118,127,136,148,161,174,188
MOROCCO,"1,450","1,552","1,642","1,741","1,865","1,976","2,084","2,203","2,315","2,424","2,550"
MOZAMBIQUE,126,141,156,156,204,233,240,250,270,280,300
NIGERIA,"1,103","2,176","2,200","2,250","2,288","2,400","2,500","2,600","2,700","2,830","2,970"
SENEGAL,163,168,172,189,197,206,257,292,305,320,340
SOUTH AFRICA,"4,575","4,890","5,161","5,276","5,411","5,319","5,507","5,733","5,967","6,188","6,384"
SUDAN,38,39,40,40,41,41,42,44,50,50,50
TANZANIA,32,40,80,177,180,181,190,200,205,230,240
TOGO,101,101,105,105,106,108,111,116,120,130,140
TUNISIA,852,874,830,787,820,848,855,862,891,940,990
UGANDA,57,59,91,94,97,101,110,120,130,140,150
ZAMBIA,294,303,200,135,190,200,210,220,230,240,250
ZIMBABWE,590,599,610,617,626,650,680,710,750,790,830
