REGIONS/COUNTRIES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AUSTRIA,"4,157","4,205","4,246","4,285","4,360","4,441","4,513","4,584","4,641","4,695","4,748"
BELGIUM,"4,861","4,929","5,006","5,087","5,160","5,279","5,359","5,393","5,439","5,511","5,587"
DENMARK,"1,971","2,026","2,075","2,105","2,126","2,169","2,203","2,240","2,280","2,321","2,392"
FINLAND,"2,414","2,489","2,481","2,450","2,450","2,486","2,532","2,560","2,576","2,596","2,613"
FRANCE,"30,100","30,400","30,700","30,850","31,050","31,300","31,550","31,600","31,650","31,800","32,000"
GERMANY,"46,090","46,570","41,184","41,321","41,738","42,302","42,928","43,431","43,851","44,403","45,071"
GREECE,"4,303","4,543","4,799","5,024","5,132","5,217","5,204","5,168","5,124","5,102","5,105"
ICELAND,187,197,208,210,205,205,206,210,213,217,226
IRELAND,"1,662","1,779","1,883","1,924","1,902","1,873","1,888","1,883","1,910","1,944","1,985"
ITALY,"34,667","35,297","35,680","36,105","36,372","36,751","37,113","37,078","36,963","37,081","37,351"
LUXEMBOURG,307,315,322,329,332,337,346,356,363,373,381
NETHERLANDS,"7,092","7,230","7,392","7,542","7,622","7,736","7,859","7,916","8,154","8,193","8,336"
NORWAY,"2,029","2,085","2,155","2,198","2,243","2,305","2,370","2,433","2,487","2,540","2,592"
PORTUGAL,"4,200","4,290","4,379","4,408","4,457","4,480","4,522","4,497","4,480","4,496","4,593"
SPAIN,"20,250","21,053","21,760","22,145","21,983","22,147","22,277","22,248","22,025","22,030","22,356"
SWEDEN,"4,154","4,202","4,258","4,279","4,301","4,335","4,401","4,447","4,495","4,586","4,669"
SWITZERLAND,"3,906","3,946","4,003","4,031","4,052","4,120","4,210","4,300","4,367","4,430","4,504"
UNITED KINGDOM,"30,477","30,817","31,106","31,252","31,036","31,258","31,363","31,482","32,103","32,613","33,542"
BULGARIA,"2,538","1,768","2,082","2,366","2,502","2,602","2,694","2,807","2,910","3,014","3,162"
CROATIA,"1,385","1,436","1,491","1,535","1,533","1,515","1,518","1,445","1,448","1,474","1,500"
CYPRUS,355,373,411,444,461,463,470,475,475,478,488
CZECH REPUBLIC,"3,959","4,109","4,280","4,423","4,435","4,496","4,583","4,699","4,820","4,937","5,159"
ESTONIA,494,554,524,552,546,553,574,602,629,653,677
HUNGARY,"2,889","2,954","3,012","3,055","3,014","2,984","2,968","2,986","3,041","3,108","3,197"
LATVIA,742,822,905,933,904,637,612,618,635,658,679
LITHUANIA,"1,455","1,592","1,588","1,671","1,695","1,692","1,713","1,753","1,809","1,206","1,244"
MALTA,206,212,218,222,227,234,240,250,256,266,275
POLAND,"12,339","13,384","14,589","16,080","16,495","17,240","17,872","18,744","19,342","19,979","20,688"
ROMANIA,"3,364","3,221","3,554","4,027","4,245","4,320","4,335","4,487","4,694","4,906","5,153"
SLOVAKIA,"1,304","1,334","1,434","1,545","1,589","1,669","1,749","1,826","1,883","1,952","2,038"
SLOVENIA,965,986,"1,020","1,052","1,066","1,069","1,074","1,074","1,072","1,077","1,088"
ALBANIA,195,225,238,265,281,295,301,297,342,378,404
BELARUS,"1,824","2,027","2,180","2,293","2,443","2,601","2,751","2,749","2,778","2,943","3,037"
BOSNIA,555,579,624,673,694,725,735,613,673,801,829
GEORGIA,340,382,428,501,536,577,625,673,738,821,895
MACEDONIA,253,242,249,263,282,310,313,302,347,371,384
MOLDAVIA,293,319,339,366,386,404,427,456,487,513,530
RUSSIA,"25,570","26,794","29,405","32,021","33,084","34,354","36,415","38,482","41,225","43,384","44,253"
SERBIA,"1,497","1,527","1,491","1,500","1,650","1,566","1,678","1,726","1,770","1,797","1,833"
TURKEY,"5,773","6,141","6,472","6,797","7,094","7,545","8,113","8,649","9,284","9,858","10,589"
UKRAINE,"5,539","5,604","5,940","6,394","6,519","6,770","6,901","7,136","7,347","7,340","7,400"
CANADA,"18,124","18,739","19,199","19,613","19,877","20,268","20,608","20,652","21,262","21,730","22,068"
MEXICO,"14,300","16,412","17,697","19,421","20,519","21,153","22,374","23,570","24,820","25,544","26,937"
UNITED STATES OF AMERICA,"132,909","135,047","135,222","135,882","132,500","129,053","127,577","120,902","120,214","120,984","122,322"
ARGENTINA,"5,230","5,325","5,745","6,271","6,706","7,605","8,269","8,683","9,451","10,144","10,413"
BAHAMAS,86,86,89,91,91,92,93,94,95,97,100
BARBADOS,72,75,77,79,80,81,82,83,85,86,90
BELIZE,12,12,12,13,13,13,14,15,16,16,20
BERMUDA,22,22,23,23,23,22,22,22,22,22,20
BOLIVIA,148,160,173,190,198,206,219,232,249,267,280
BRAZIL,"18,926","19,892","21,297","22,917","24,815","26,888","28,946","31,123","33,092","34,676","35,471"
CHILE,"1,595","1,702","1,803","1,927","2,008","2,172","2,363","2,580","2,786","2,994","3,125"
COLOMBIA,"1,638","1,776","1,914","2,074","2,199","2,319","2,506","2,707","2,829","3,047","3,093"
COSTA RICA,476,489,538,583,606,641,686,734,767,802,846
CUBA,195,197,200,202,206,210,214,216,222,227,230
DOMINICAN REPUBLIC,557,577,602,630,645,662,663,697,717,742,773
ECUADOR,530,560,590,630,670,727,790,844,891,939,969
EL SALVADOR,74,79,82,85,86,88,92,94,101,107,110
GUATEMALA,350,400,456,495,525,552,576,598,622,653,697
HAITI,37,37,36,37,35,37,38,39,41,43,40
HONDURAS,27,29,30,31,32,33,34,36,39,41,40
JAMAICA,122,127,128,133,133,135,139,141,144,146,150
NICARAGUA,100,106,115,119,122,117,112,115,116,119,120
