"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1970","1970","TONNEKM","Tonnes-kilometres","6","Millions",,,534,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1971","1971","TONNEKM","Tonnes-kilometres","6","Millions",,,700,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1972","1972","TONNEKM","Tonnes-kilometres","6","Millions",,,1098,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1973","1973","TONNEKM","Tonnes-kilometres","6","Millions",,,1078,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1974","1974","TONNEKM","Tonnes-kilometres","6","Millions",,,745,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1975","1975","TONNEKM","Tonnes-kilometres","6","Millions",,,718,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1976","1976","TONNEKM","Tonnes-kilometres","6","Millions",,,745,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1977","1977","TONNEKM","Tonnes-kilometres","6","Millions",,,885,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1978","1978","TONNEKM","Tonnes-kilometres","6","Millions",,,1016,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1979","1979","TONNEKM","Tonnes-kilometres","6","Millions",,,805,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1980","1980","TONNEKM","Tonnes-kilometres","6","Millions",,,871,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,911,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,980,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,877,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,900,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,913,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1986","1986","TONNEKM","Tonnes-kilometres","6","Millions",,,906,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1987","1987","TONNEKM","Tonnes-kilometres","6","Millions",,,1482,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1988","1988","TONNEKM","Tonnes-kilometres","6","Millions",,,1608,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1989","1989","TONNEKM","Tonnes-kilometres","6","Millions",,,1575,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1990","1990","TONNEKM","Tonnes-kilometres","6","Millions",,,1447,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1991","1991","TONNEKM","Tonnes-kilometres","6","Millions",,,1279,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1992","1992","TONNEKM","Tonnes-kilometres","6","Millions",,,268,"B","Break"
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1993","1993","TONNEKM","Tonnes-kilometres","6","Millions",,,306,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1994","1994","TONNEKM","Tonnes-kilometres","6","Millions",,,331,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1995","1995","TONNEKM","Tonnes-kilometres","6","Millions",,,354,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1996","1996","TONNEKM","Tonnes-kilometres","6","Millions",,,373,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1997","1997","TONNEKM","Tonnes-kilometres","6","Millions",,,383,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1998","1998","TONNEKM","Tonnes-kilometres","6","Millions",,,403,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,415,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,422,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,589,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,427,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,547,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,638,"B","Break"
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,711,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,708,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,810,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,787,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,773,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,830,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,750,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,610,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,554,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,634,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,624,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,599,,
"SVN","Slovenia","T-GOODS-RD-OWN","Road freight transport on own account","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,714,,
"AUT","Austria","T-GOODS-TOT-INLD","Total inland freight transport","1970","1970","TONNEKM","Tonnes-kilometres","6","Millions",,,17645,,
"AUT","Austria","T-GOODS-TOT-INLD","Total inland freight transport","1971","1971","TONNEKM","Tonnes-kilometres","6","Millions",,,19436,,
"AUT","Austria","T-GOODS-TOT-INLD","Total inland freight transport","1972","1972","TONNEKM","Tonnes-kilometres","6","Millions",,,20693,,
"AUT","Austria","T-GOODS-TOT-INLD","Total inland freight transport","1973","1973","TONNEKM","Tonnes-kilometres","6","Millions",,,22548,,
