Country;Date;Frequency;Fuel type;Type of vehicle;Value
Malta;2015;Annual;Diesel;New lorries (vehicle wt over 3500 kg);348.0
Malta;1998;Annual;Diesel;New passenger cars;2792.0
Malta;2002;Annual;Diesel;New passenger cars;5409.0
Malta;2002;Annual;Diesel;New motor coaches, buses and trolley buses;37.0
Malta;2007;Annual;Diesel;New motor coaches, buses and trolley buses;48.0
Malta;2010;Annual;Diesel;New motor coaches, buses and trolley buses;76.0
Malta;2012;Annual;Diesel;New motor coaches, buses and trolley buses;98.0
Malta;2017;Annual;Diesel;New motor coaches, buses and trolley buses;104.0
Netherlands;2013;Annual;- Hybrid electric-petrol;New lorries (vehicle wt over 3500 kg);0.0
Malta;2000;Annual;Diesel;New road tractors;121.0
Malta;2005;Annual;Diesel;New road tractors;142.0
Malta;2018;Annual;Diesel;New road tractors;89.0
Malta;2013;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);263.0
Malta;2018;Annual;- Diesel (excluding hybrids);New road tractors;89.0
Netherlands;2013;Annual;- Hybrid electric-petrol;New passenger cars;43326.0
Netherlands;2014;Annual;- Hybrid electric-petrol;New passenger cars;26727.0
Netherlands;2015;Annual;- Hybrid electric-petrol;New light goods vehicles;1.0
Netherlands;2016;Annual;- Hybrid electric-petrol;New light goods vehicles;0.0
Malta;2014;Annual;- Hybrid electric-diesel;New light goods vehicles;0.0
Malta;2016;Annual;- Hybrid electric-diesel;New light goods vehicles;0.0
Malta;2016;Annual;- Plug-in hybrid diesel-electric;New motor coaches, buses and trolley buses;0.0
Malta;2017;Annual;- Plug-in hybrid diesel-electric;New motor coaches, buses and trolley buses;0.0
Malta;2013;Annual;Alternative (total);New lorries (vehicle wt over 3500 kg);0.0
Netherlands;2013;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);3513.0
Netherlands;2015;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);3520.0
Netherlands;2014;Annual;- Diesel (excluding hybrids);New light goods vehicles;49495.0
Netherlands;2017;Annual;- Diesel (excluding hybrids);New light goods vehicles;70641.0
Malta;1997;Annual;Alternative (total);New motor coaches, buses and trolley buses;0.0
Malta;2011;Annual;Alternative (total);New motor coaches, buses and trolley buses;6.0
Malta;2015;Annual;Alternative (total);New motor coaches, buses and trolley buses;0.0
Malta;2016;Annual;Alternative (total);New motor coaches, buses and trolley buses;0.0
Malta;2017;Annual;Alternative (total);New motor coaches, buses and trolley buses;0.0
Malta;1998;Annual;Alternative (total);New light goods vehicles;0.0
Malta;2000;Annual;Alternative (total);New light goods vehicles;3.0
Malta;2002;Annual;Alternative (total);New light goods vehicles;14.0
Malta;2006;Annual;Alternative (total);New light goods vehicles;0.0
Malta;2011;Annual;Alternative (total);New light goods vehicles;9.0
Malta;2016;Annual;Alternative (total);New light goods vehicles;12.0
Malta;2006;Annual;Alternative (total);New road tractors;0.0
Malta;2007;Annual;Alternative (total);New road tractors;0.0
Malta;2013;Annual;Alternative (total);New road tractors;0.0
Malta;2017;Annual;- Electricity;New lorries (vehicle wt over 3500 kg);0.0
Malta;2006;Annual;- Electricity;New passenger cars;6.0
Malta;2009;Annual;- Electricity;New passenger cars;2.0
Malta;2010;Annual;- Electricity;New passenger cars;3.0
Malta;2000;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Malta;2001;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Malta;2006;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Malta;2009;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Malta;2015;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Malta;2000;Annual;- Compressed natural gas (CNG);New passenger cars;0.0
Malta;2007;Annual;- Compressed natural gas (CNG);New passenger cars;0.0
Malta;2011;Annual;- Compressed natural gas (CNG);New passenger cars;0.0
Netherlands;2015;Annual;- Diesel (excluding hybrids);New road tractors;9360.0
Netherlands;2017;Annual;- Hybrid electric-diesel;New light goods vehicles;0.0
Malta;2009;Annual;- LPG;New motor coaches, buses and trolley buses;0.0
Malta;2013;Annual;- LPG;New motor coaches, buses and trolley buses;0.0
Malta;2015;Annual;- LPG;New motor coaches, buses and trolley buses;0.0
Netherlands;2014;Annual;Alternative (total);New motor coaches, buses and trolley buses;5.0
Netherlands;2015;Annual;Alternative (total);New motor coaches, buses and trolley buses;12.0
Netherlands;2017;Annual;- Electricity;New motor coaches, buses and trolley buses;139.0
Netherlands;2015;Annual;- Electricity;New light goods vehicles;268.0
Netherlands;2016;Annual;- Electricity;New light goods vehicles;299.0
Netherlands;2015;Annual;- Electricity;New road tractors;0.0
Netherlands;2016;Annual;- Electricity;New road tractors;0.0
Netherlands;2011;Annual;- Compressed natural gas (CNG);New light goods vehicles;409.0
Netherlands;2013;Annual;- Compressed natural gas (CNG);New light goods vehicles;336.0
Malta;2001;Annual;- LPG;New light goods vehicles;0.0
Malta;2006;Annual;- LPG;New light goods vehicles;0.0
Malta;2011;Annual;- LPG;New light goods vehicles;0.0
Malta;2014;Annual;- LPG;New light goods vehicles;0.0
Malta;2018;Annual;- LPG;New light goods vehicles;0.0
Malta;2013;Annual;- Bioethanol;New lorries (vehicle wt over 3500 kg);0.0
Malta;2013;Annual;- Bioethanol;New passenger cars;0.0
Malta;2017;Annual;- Bioethanol;New passenger cars;0.0
Malta;2014;Annual;- Bioethanol;New road tractors;0.0
Malta;2016;Annual;- Biodiesel;New lorries (vehicle wt over 3500 kg);0.0
Netherlands;2014;Annual;- LPG;New lorries (vehicle wt over 3500 kg);4.0
Netherlands;2016;Annual;- LPG;New lorries (vehicle wt over 3500 kg);2.0
Netherlands;2014;Annual;- LPG;New road tractors;0.0
Netherlands;2016;Annual;- Bioethanol;New lorries (vehicle wt over 3500 kg);0.0
Malta;2017;Annual;- Biodiesel;New road tractors;0.0
Malta;2015;Annual;- Hydrogen and fuel cells;New passenger cars;0.0
Malta;2016;Annual;- Hydrogen and fuel cells;New passenger cars;0.0
Netherlands;2015;Annual;- Biodiesel;New passenger cars;0.0
Netherlands;2014;Annual;- Biodiesel;New light goods vehicles;0.0
Netherlands;2017;Annual;- Biodiesel;New light goods vehicles;0.0
Netherlands;2015;Annual;- Bi-fuel vehicles;New passenger cars;0.0
Malta;2013;Annual;- Hydrogen and fuel cells;New motor coaches, buses and trolley buses;0.0
Malta;2016;Annual;- Hydrogen and fuel cells;New motor coaches, buses and trolley buses;0.0
Montenegro;2012;Annual;Total;New passenger cars;11283.0
Montenegro;2017;Annual;Total;New passenger cars;2979.0
Netherlands;2013;Annual;- Hydrogen and fuel cells;New passenger cars;1.0
Netherlands;2015;Annual;- Hydrogen and fuel cells;New passenger cars;19.0
Norway;1994;Annual;Total;New passenger cars;91336.0
Norway;1995;Annual;Total;New passenger cars;97880.0
Norway;2016;Annual;Total;New passenger cars;171633.0
Norway;2017;Annual;Total;New passenger cars;183728.0
Montenegro;2016;Annual;Petrol;New lorries (vehicle wt over 3500 kg);0.0
Norway;1994;Annual;Total;New road tractors;453.0
Norway;2004;Annual;Total;New road tractors;822.0
Norway;2007;Annual;Total;New road tractors;1449.0
Norway;2012;Annual;Total;New road tractors;1294.0
Norway;2015;Annual;Total;New road tractors;1403.0
Norway;2006;Annual;Alternative (total);New motor coaches, buses and trolley buses;31.0
Norway;2009;Annual;Alternative (total);New motor coaches, buses and trolley buses;3.0
Norway;2010;Annual;Alternative (total);New motor coaches, buses and trolley buses;79.0
Norway;2014;Annual;Alternative (total);New motor coaches, buses and trolley buses;27.0
Norway;2017;Annual;Alternative (total);New motor coaches, buses and trolley buses;133.0
Montenegro;2016;Annual;- Petrol (excluding hybrids);New lorries (vehicle wt over 3500 kg);0.0
Montenegro;2017;Annual;- Petrol (excluding hybrids);New lorries (vehicle wt over 3500 kg);0.0
Norway;2005;Annual;Alternative (total);New light goods vehicles;16.0
Norway;2010;Annual;Alternative (total);New light goods vehicles;124.0
Norway;2017;Annual;Alternative (total);New light goods vehicles;988.0
Norway;1997;Annual;- Electricity;New passenger cars;0.0
Norway;1999;Annual;- Electricity;New passenger cars;0.0
Norway;2008;Annual;- Electricity;New passenger cars;275.0
Norway;2010;Annual;- Electricity;New passenger cars;406.0
Norway;2005;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Norway;2016;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Norway;2017;Annual;- Electricity;New motor coaches, buses and trolley buses;18.0
Norway;2006;Annual;- Electricity;New light goods vehicles;3.0
Montenegro;2016;Annual;Diesel;New lorries (vehicle wt over 3500 kg);34.0
Montenegro;2017;Annual;Diesel;New lorries (vehicle wt over 3500 kg);32.0
Poland;1994;Annual;Total;New motor coaches, buses and trolley buses;2707.0
Poland;1999;Annual;Total;New motor coaches, buses and trolley buses;2512.0
Poland;2002;Annual;Total;New motor coaches, buses and trolley buses;2810.0
Poland;2003;Annual;Total;New motor coaches, buses and trolley buses;2072.0
Poland;2006;Annual;Total;New motor coaches, buses and trolley buses;4417.0
Poland;2010;Annual;Total;New motor coaches, buses and trolley buses;3939.0
Poland;2011;Annual;Total;New motor coaches, buses and trolley buses;4604.0
Poland;1993;Annual;Total;New light goods vehicles;71098.0
Poland;1994;Annual;Total;New light goods vehicles;63826.0
Poland;1996;Annual;Total;New light goods vehicles;75197.0
Poland;2004;Annual;Petrol;New passenger cars;589018.0
Poland;2011;Annual;Petrol;New passenger cars;392762.0
Poland;2012;Annual;Petrol;New passenger cars;399195.0
Poland;2013;Annual;Petrol;New passenger cars;449741.0
Poland;2016;Annual;Petrol;New passenger cars;718969.0
Poland;2000;Annual;Petrol;New light goods vehicles;72145.0
Poland;2003;Annual;Petrol;New light goods vehicles;75611.0
Poland;2010;Annual;Petrol;New light goods vehicles;22548.0
Poland;2016;Annual;Petrol;New light goods vehicles;4757.0
Montenegro;2017;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);32.0
Poland;2015;Annual;- Petrol (excluding hybrids);New lorries (vehicle wt over 3500 kg);35.0
Poland;2017;Annual;- Petrol (excluding hybrids);New lorries (vehicle wt over 3500 kg);32.0
Montenegro;2017;Annual;- Diesel (excluding hybrids);New road tractors;28.0
Poland;2004;Annual;Diesel;New passenger cars;147570.0
Poland;2012;Annual;Diesel;New passenger cars;450827.0
Poland;2013;Annual;Diesel;New passenger cars;468097.0
Poland;2016;Annual;Diesel;New passenger cars;530548.0
Poland;1997;Annual;Diesel;New light goods vehicles;52626.0
Poland;1998;Annual;Diesel;New light goods vehicles;55382.0
Poland;2004;Annual;Diesel;New light goods vehicles;91399.0
Poland;2005;Annual;Diesel;New light goods vehicles;110733.0
Poland;2009;Annual;Diesel;New light goods vehicles;138459.0
Poland;2016;Annual;- Diesel (excluding hybrids);New lorries (vehicle wt over 3500 kg);21311.0
Montenegro;2017;Annual;- Compressed natural gas (CNG);New road tractors;0.0
Montenegro;2016;Annual;- Biodiesel;New road tractors;0.0
Netherlands;1996;Annual;Total;New motor coaches, buses and trolley buses;600.0
Netherlands;1997;Annual;Total;New motor coaches, buses and trolley buses;372.0
Netherlands;2003;Annual;Total;New motor coaches, buses and trolley buses;878.0
Netherlands;2005;Annual;Total;New motor coaches, buses and trolley buses;1135.0
Netherlands;2017;Annual;Total;New motor coaches, buses and trolley buses;888.0
Netherlands;1994;Annual;Total;New light goods vehicles;47769.0
Netherlands;2001;Annual;Total;New light goods vehicles;92013.0
Netherlands;2006;Annual;Total;New light goods vehicles;72245.0
Netherlands;2017;Annual;Total;New light goods vehicles;73474.0
Poland;2017;Annual;- Diesel (excluding hybrids);New passenger cars;500112.0
Poland;2014;Annual;- Compressed natural gas (CNG);New lorries (vehicle wt over 3500 kg);21.0
Poland;2016;Annual;- Compressed natural gas (CNG);New lorries (vehicle wt over 3500 kg);8.0
Poland;2013;Annual;- Compressed natural gas (CNG);New passenger cars;266.0
Netherlands;2010;Annual;Petrol;New light goods vehicles;619.0
Netherlands;2012;Annual;Petrol;New light goods vehicles;433.0
Netherlands;2013;Annual;Petrol;New light goods vehicles;363.0
Netherlands;2014;Annual;Petrol;New light goods vehicles;433.0
Poland;2015;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;88.0
Poland;2017;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;24.0
Poland;2014;Annual;- Liquefied natural gas (LNG);New road tractors;0.0
Poland;2017;Annual;- Liquefied natural gas (LNG);New road tractors;7.0
Poland;2016;Annual;- LPG;New lorries (vehicle wt over 3500 kg);23.0
Netherlands;1998;Annual;Diesel;New passenger cars;110318.0
Netherlands;2007;Annual;Diesel;New passenger cars;143269.0
Netherlands;2011;Annual;Diesel;New passenger cars;156834.0
Netherlands;2011;Annual;Diesel;New light goods vehicles;61084.0
Netherlands;2013;Annual;Diesel;New light goods vehicles;49214.0
Netherlands;2011;Annual;Diesel;New road tractors;7784.0
Netherlands;2013;Annual;Diesel;New road tractors;8799.0
Netherlands;2016;Annual;Diesel;New road tractors;10013.0
Poland;2003;Annual;- LPG;New motor coaches, buses and trolley buses;4.0
Poland;2011;Annual;- LPG;New motor coaches, buses and trolley buses;5.0
Poland;2005;Annual;- LPG;New light goods vehicles;4096.0
Poland;2013;Annual;- LPG;New light goods vehicles;2417.0
Poland;2017;Annual;- LPG;New light goods vehicles;3426.0
Netherlands;2014;Annual;- Diesel (excluding hybrids);New motor coaches, buses and trolley buses;664.0
Netherlands;1996;Annual;Alternative (total);New passenger cars;940.0
Netherlands;1998;Annual;Alternative (total);New passenger cars;733.0
Netherlands;1999;Annual;Alternative (total);New passenger cars;921.0
Netherlands;2008;Annual;Alternative (total);New passenger cars;21568.0
Netherlands;2011;Annual;Alternative (total);New light goods vehicles;989.0
Netherlands;2012;Annual;Alternative (total);New light goods vehicles;1430.0
Netherlands;2017;Annual;Alternative (total);New road tractors;101.0
Netherlands;2015;Annual;- Electricity;New lorries (vehicle wt over 3500 kg);0.0
Poland;2013;Annual;- Biodiesel;New passenger cars;0.0
Poland;2017;Annual;- Bi-fuel vehicles;New passenger cars;0.0
Netherlands;2017;Annual;- Compressed natural gas (CNG);New passenger cars;1268.0
Netherlands;2011;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;45.0
Portugal;1996;Annual;Total;New passenger cars;268542.0
Portugal;1997;Annual;Total;New passenger cars;287730.0
Portugal;2010;Annual;Total;New passenger cars;248813.0
Portugal;2012;Annual;Total;New passenger cars;110002.0
Portugal;2014;Annual;Total;New passenger cars;172642.0
Portugal;1998;Annual;Total;New motor coaches, buses and trolley buses;1263.0
Portugal;2009;Annual;Total;New motor coaches, buses and trolley buses;984.0
Portugal;2011;Annual;Total;New motor coaches, buses and trolley buses;711.0
Moldova, Republic of;2001;Annual;Total;New light goods vehicles;4439.0
Moldova, Republic of;2010;Annual;Total;New light goods vehicles;10979.0
Moldova, Republic of;2011;Annual;Total;New light goods vehicles;10426.0
Moldova, Republic of;2012;Annual;Total;New light goods vehicles;9269.0
Moldova, Republic of;2007;Annual;Total;New road tractors;16.0
Moldova, Republic of;2012;Annual;Total;New road tractors;21.0
Netherlands;2013;Annual;- Liquefied natural gas (LNG);New lorries (vehicle wt over 3500 kg);3.0
Netherlands;2014;Annual;- Liquefied natural gas (LNG);New lorries (vehicle wt over 3500 kg);2.0
Netherlands;2015;Annual;- Liquefied natural gas (LNG);New motor coaches, buses and trolley buses;0.0
Moldova, Republic of;1997;Annual;Petrol;New motor coaches, buses and trolley buses;30.0
Moldova, Republic of;2000;Annual;Petrol;New motor coaches, buses and trolley buses;10.0
Moldova, Republic of;2004;Annual;Petrol;New motor coaches, buses and trolley buses;27.0
Moldova, Republic of;2015;Annual;Petrol;New motor coaches, buses and trolley buses;1.0
Moldova, Republic of;2016;Annual;Petrol;New motor coaches, buses and trolley buses;0.0
Moldova, Republic of;2017;Annual;Petrol;New road tractors;0.0
Moldova, Republic of;2010;Annual;Diesel;New road tractors;9.0
Moldova, Republic of;2015;Annual;Diesel;New road tractors;5.0
Moldova, Republic of;1998;Annual;Alternative (total);New passenger cars;21.0
Moldova, Republic of;2010;Annual;Alternative (total);New passenger cars;140.0
Netherlands;2017;Annual;- LPG;New motor coaches, buses and trolley buses;0.0
Netherlands;2015;Annual;- LPG;New light goods vehicles;663.0
Netherlands;2014;Annual;- Bioethanol;New light goods vehicles;0.0
Moldova, Republic of;2004;Annual;Alternative (total);New road tractors;0.0
Moldova, Republic of;1999;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Moldova, Republic of;2012;Annual;- Electricity;New motor coaches, buses and trolley buses;6.0
Netherlands;2015;Annual;- Hydrogen and fuel cells;New motor coaches, buses and trolley buses;0.0
Norway;1993;Annual;Total;New motor coaches, buses and trolley buses;3140.0
Norway;1998;Annual;Total;New motor coaches, buses and trolley buses;2774.0
Norway;1999;Annual;Total;New motor coaches, buses and trolley buses;2222.0
Norway;2006;Annual;Total;New motor coaches, buses and trolley buses;974.0
Norway;2011;Annual;Total;New motor coaches, buses and trolley buses;1373.0
Norway;2018;Annual;Total;New motor coaches, buses and trolley buses;1099.0
Moldova, Republic of;1997;Annual;- Electricity;New light goods vehicles;5.0
Moldova, Republic of;1997;Annual;- Compressed natural gas (CNG);New passenger cars;0.0
Moldova, Republic of;2011;Annual;- Compressed natural gas (CNG);New passenger cars;17.0
Norway;2004;Annual;Total;New light goods vehicles;38213.0
Norway;2011;Annual;Total;New light goods vehicles;39132.0
Norway;2016;Annual;Total;New light goods vehicles;34943.0
Norway;2018;Annual;Total;New light goods vehicles;35966.0
Norway;2010;Annual;Petrol;New passenger cars;37908.0
Norway;2016;Annual;Petrol;New passenger cars;86537.0
Norway;2004;Annual;Petrol;New motor coaches, buses and trolley buses;56.0
Norway;2011;Annual;Petrol;New motor coaches, buses and trolley buses;1.0
Norway;2013;Annual;Petrol;New motor coaches, buses and trolley buses;0.0
Norway;2016;Annual;Petrol;New motor coaches, buses and trolley buses;2.0
Norway;2017;Annual;Petrol;New motor coaches, buses and trolley buses;0.0
Norway;2018;Annual;Petrol;New motor coaches, buses and trolley buses;0.0
Norway;2010;Annual;Petrol;New light goods vehicles;328.0
Moldova, Republic of;1998;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;0.0
Moldova, Republic of;2000;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;2.0
Moldova, Republic of;2012;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;2.0
Moldova, Republic of;2016;Annual;- Compressed natural gas (CNG);New motor coaches, buses and trolley buses;0.0
Moldova, Republic of;1996;Annual;- Compressed natural gas (CNG);New light goods vehicles;0.0
Moldova, Republic of;2006;Annual;- Compressed natural gas (CNG);New light goods vehicles;6.0
Norway;2004;Annual;Petrol;New road tractors;0.0
Norway;2013;Annual;Petrol;New road tractors;0.0
Norway;1995;Annual;Diesel;New passenger cars;6028.0
Norway;1997;Annual;Diesel;New passenger cars;12477.0
Norway;2011;Annual;Diesel;New passenger cars;128559.0
Norway;1995;Annual;Diesel;New motor coaches, buses and trolley buses;3121.0
Norway;1996;Annual;Diesel;New motor coaches, buses and trolley buses;3152.0
Norway;1997;Annual;Diesel;New motor coaches, buses and trolley buses;2536.0
Norway;2004;Annual;Diesel;New motor coaches, buses and trolley buses;1043.0
Norway;2015;Annual;Diesel;New motor coaches, buses and trolley buses;1084.0
Norway;2018;Annual;Diesel;New motor coaches, buses and trolley buses;1056.0
Norway;1993;Annual;Diesel;New light goods vehicles;14594.0
Norway;2005;Annual;Diesel;New light goods vehicles;40300.0
Norway;2007;Annual;Diesel;New light goods vehicles;52240.0
Norway;2008;Annual;Diesel;New light goods vehicles;41814.0
Romania;1997;Annual;Total;New road tractors;850.0
Romania;2004;Annual;Total;New road tractors;652.0
Romania;2011;Annual;Total;New road tractors;8200.0
Romania;2010;Annual;Petrol;New passenger cars;196675.0
Norway;2006;Annual;Diesel;New road tractors;1187.0
Norway;2009;Annual;Diesel;New road tractors;667.0
Norway;2012;Annual;Diesel;New road tractors;1292.0
Norway;2014;Annual;Diesel;New road tractors;1367.0
Norway;2018;Annual;Diesel;New road tractors;1542.0
Norway;2004;Annual;Alternative (total);New passenger cars;131.0
Norway;2006;Annual;Alternative (total);New passenger cars;229.0
Norway;2007;Annual;Alternative (total);New passenger cars;144.0
Norway;2010;Annual;Alternative (total);New passenger cars;427.0
Norway;2011;Annual;Alternative (total);New passenger cars;2069.0
Norway;2014;Annual;Alternative (total);New passenger cars;21307.0
Norway;2004;Annual;Alternative (total);New road tractors;0.0
Norway;2012;Annual;Alternative (total);New road tractors;2.0
Norway;2015;Annual;Alternative (total);New road tractors;1.0
Norway;2009;Annual;- LPG;New passenger cars;2.0
Poland;2013;Annual;Total;New lorries (vehicle wt over 3500 kg);18786.0
Poland;2015;Annual;Total;New lorries (vehicle wt over 3500 kg);21148.0
Poland;1995;Annual;Total;New passenger cars;450769.0
Poland;2000;Annual;Total;New passenger cars;519407.0
Poland;1999;Annual;Total;New road tractors;7912.0
Poland;2011;Annual;Total;New road tractors;24717.0
Poland;2016;Annual;Petrol;New lorries (vehicle wt over 3500 kg);44.0
Poland;2017;Annual;Petrol;New lorries (vehicle wt over 3500 kg);32.0
Poland;1997;Annual;Petrol;New motor coaches, buses and trolley buses;95.0
Poland;2015;Annual;Petrol;New motor coaches, buses and trolley buses;10.0
Poland;2003;Annual;Petrol;New road tractors;166.0
Poland;2012;Annual;Petrol;New road tractors;8.0
Poland;2013;Annual;Petrol;New road tractors;13.0
Poland;2016;Annual;Petrol;New road tractors;18.0
Poland;2016;Annual;- Petrol (excluding hybrids);New light goods vehicles;4757.0
Romania;2009;Annual;Diesel;New passenger cars;124399.0
Poland;2017;Annual;Diesel;New lorries (vehicle wt over 3500 kg);20060.0
Poland;1995;Annual;Diesel;New motor coaches, buses and trolley buses;2091.0
Poland;1998;Annual;Diesel;New motor coaches, buses and trolley buses;2093.0
Poland;1999;Annual;Diesel;New motor coaches, buses and trolley buses;2213.0
Poland;2001;Annual;Diesel;New motor coaches, buses and trolley buses;2975.0
Poland;2006;Annual;Diesel;New motor coaches, buses and trolley buses;4330.0
Poland;2007;Annual;Diesel;New motor coaches, buses and trolley buses;4775.0
Poland;2010;Annual;Diesel;New motor coaches, buses and trolley buses;3887.0
Poland;2011;Annual;Diesel;New motor coaches, buses and trolley buses;4546.0
Poland;2012;Annual;Diesel;New motor coaches, buses and trolley buses;4299.0
Poland;2013;Annual;Diesel;New motor coaches, buses and trolley buses;4824.0
Poland;2014;Annual;Diesel;New motor coaches, buses and trolley buses;5243.0
Poland;2015;Annual;Diesel;New motor coaches, buses and trolley buses;5684.0
Poland;2017;Annual;Diesel;New motor coaches, buses and trolley buses;5267.0
Poland;2006;Annual;Diesel;New road tractors;20142.0
Poland;2008;Annual;Diesel;New road tractors;20837.0
Poland;2010;Annual;Diesel;New road tractors;16442.0
Poland;2015;Annual;- Diesel (excluding hybrids);New light goods vehicles;102741.0
Poland;2014;Annual;- Diesel (excluding hybrids);New road tractors;26079.0
Poland;2001;Annual;Alternative (total);New passenger cars;24309.0
Poland;2004;Annual;Alternative (total);New passenger cars;96433.0
Poland;2014;Annual;Alternative (total);New motor coaches, buses and trolley buses;69.0
Poland;2016;Annual;Alternative (total);New motor coaches, buses and trolley buses;63.0
Poland;1996;Annual;Alternative (total);New light goods vehicles;433.0
Poland;2001;Annual;Alternative (total);New light goods vehicles;2989.0
Poland;2003;Annual;Alternative (total);New light goods vehicles;8946.0
Poland;2013;Annual;Alternative (total);New light goods vehicles;2748.0
Poland;2014;Annual;Alternative (total);New road tractors;31.0
Poland;2017;Annual;Alternative (total);New road tractors;30.0
Romania;2013;Annual;Alternative (total);New motor coaches, buses and trolley buses;4.0
Romania;2010;Annual;Alternative (total);New light goods vehicles;2.0
Poland;2014;Annual;- Electricity;New passenger cars;1909.0
Poland;1996;Annual;- Electricity;New motor coaches, buses and trolley buses;14.0
Poland;2004;Annual;- Electricity;New motor coaches, buses and trolley buses;0.0
Poland;2013;Annual;- Electricity;New road tractors;0.0
Poland;2014;Annual;- Electricity;New road tractors;0.0
Poland;2017;Annual;- Electricity;New road tractors;0.0
Poland;2017;Annual;- Compressed natural gas (CNG);New light goods vehicles;117.0
Romania;2011;Annual;- Compressed natural gas (CNG);New passenger cars;46.0
Poland;2013;Annual;- Compressed natural gas (CNG);New road tractors;1.0
Poland;2015;Annual;- Liquefied natural gas (LNG);New light goods vehicles;0.0
Poland;2017;Annual;- Liquefied natural gas (LNG);New light goods vehicles;6.0
Poland;2004;Annual;- LPG;New passenger cars;73365.0
Poland;2012;Annual;- LPG;New passenger cars;58873.0
Poland;2013;Annual;- LPG;New passenger cars;68869.0
Poland;2014;Annual;- Bioethanol;New lorries (vehicle wt over 3500 kg);0.0
Poland;2017;Annual;- Bioethanol;New lorries (vehicle wt over 3500 kg);1.0
Poland;2014;Annual;- Biodiesel;New lorries (vehicle wt over 3500 kg);0.0
Poland;2017;Annual;- Biodiesel;New lorries (vehicle wt over 3500 kg);0.0
Poland;2015;Annual;- Biodiesel;New light goods vehicles;0.0
Poland;2017;Annual;- Biodiesel;New light goods vehicles;0.0
San Marino;2004;Annual;Petrol;New motor coaches, buses and trolley buses;0.0
San Marino;2003;Annual;Diesel;New light goods vehicles;174.0
Poland;2015;Annual;- Hydrogen and fuel cells;New passenger cars;8.0
Poland;2016;Annual;- Hydrogen and fuel cells;New passenger cars;16.0
Poland;2017;Annual;- Hydrogen and fuel cells;New motor coaches, buses and trolley buses;0.0
San Marino;2004;Annual;Alternative (total);New motor coaches, buses and trolley buses;0.0
Portugal;2014;Annual;Total;New lorries (vehicle wt over 3500 kg);1524.0
Portugal;2015;Annual;Total;New lorries (vehicle wt over 3500 kg);1894.0
Portugal;2016;Annual;Total;New lorries (vehicle wt over 3500 kg);2094.0
Portugal;1996;Annual;Total;New light goods vehicles;73573.0
Portugal;1999;Annual;Total;New light goods vehicles;106395.0
Portugal;2006;Annual;Total;New light goods vehicles;2893.0
Portugal;2007;Annual;Total;New light goods vehicles;3379.0
Portugal;2015;Annual;Total;New light goods vehicles;30276.0
San Marino;2003;Annual;- Compressed natural gas (CNG);New passenger cars;1.0
Portugal;2014;Annual;Total;New road tractors;4283.0
Moldova, Republic of;2001;Annual;Total;New passenger cars;13049.0
Moldova, Republic of;2006;Annual;Total;New passenger cars;11799.0
Moldova, Republic of;2013;Annual;Total;New passenger cars;29698.0
Moldova, Republic of;2016;Annual;Total;New passenger cars;17208.0
Moldova, Republic of;2017;Annual;Total;New passenger cars;42225.0
Moldova, Republic of;1998;Annual;Total;New motor coaches, buses and trolley buses;131.0
Moldova, Republic of;1999;Annual;Total;New motor coaches, buses and trolley buses;25.0
Moldova, Republic of;2004;Annual;Total;New motor coaches, buses and trolley buses;442.0
Moldova, Republic of;2016;Annual;Total;New motor coaches, buses and trolley buses;110.0
Moldova, Republic of;2012;Annual;Petrol;New passenger cars;12069.0
Moldova, Republic of;2017;Annual;Petrol;New passenger cars;12395.0
Moldova, Republic of;2004;Annual;Petrol;New light goods vehicles;413.0
Moldova, Republic of;2006;Annual;Petrol;New light goods vehicles;326.0
Moldova, Republic of;2010;Annual;Petrol;New light goods vehicles;199.0
Moldova, Republic of;2014;Annual;Petrol;New light goods vehicles;72.0
Moldova, Republic of;2006;Annual;Diesel;New passenger cars;1693.0
Moldova, Republic of;2009;Annual;Diesel;New passenger cars;5763.0
Moldova, Republic of;2010;Annual;Diesel;New passenger cars;6072.0
Moldova, Republic of;2015;Annual;Diesel;New passenger cars;8407.0
Moldova, Republic of;2016;Annual;Diesel;New passenger cars;7908.0
Moldova, Republic of;1996;Annual;Diesel;New motor coaches, buses and trolley buses;10.0
